"ID","Type","Name","Documentation","Specialization"
"id-670c17731afc4fd28ee09d7fed4bc85e","Artifact","mapping_ReadMe.txt","Datei | Pfad: 01-artifacts/00-xml/01-mapping/mapping_ReadMe.txt | Tiefe: 4",""
"id-689fa14e1a494714a13582f1a305e0fc","Artifact","Driver.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/5. Motivation/Driver.ajs | Tiefe: 6",""
"id-68bafda0e32240c19236159226e8919f","Artifact","CLE31-xlsx_all_childs.py","Datei | Pfad: 01-artifacts/01-scripts/CLE31-xlsx_all_childs.py | Tiefe: 3",""
"id-69026f83f73445eb8553c6d121c347c3","Artifact","HLP04_dirlog.py","Datei | Pfad: 01-artifacts/01-scripts/HLP04_dirlog.py | Tiefe: 3",""
"id-6a42f41938864e098d2d2ab946f82e57","Artifact","Association Relationship.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/8. Relations/Association Relationship.ajs | Tiefe: 6",""
"id-6a6b1ea8e4284da5bc0551300e177133","Artifact","HLP05_context_structure.py","Datei | Pfad: 01-artifacts/01-scripts/HLP05_context_structure.py | Tiefe: 3",""
"id-6b00a1ffb3a84c31a03831512deb8379","Artifact","00-archimate","Ordner | Pfad: 00-model/00-archimate | Tiefe: 2",""
"id-6b77276f34504f18ba3b308e62bcc29f","Artifact","CSV06-append_child_to_master.py","Datei | Pfad: 01-artifacts/01-scripts/CSV06-append_child_to_master.py | Tiefe: 3",""
"id-6bd8f61940ea45449374bc3852f4df3e","Artifact","Technology Event.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Technology Event.ajs | Tiefe: 6",""
"id-6cd4efff480c4539a534914fe03db8ef","Artifact","csvmapping.txt","Datei | Pfad: 01-artifacts/03-XLSX/01-mapping/csvmapping.txt | Tiefe: 4",""
"id-6d58d1e32bcb4c00967e6afabe22cfc1","Artifact","M2B05-writeback_master.py","Datei | Pfad: 01-artifacts/01-scripts/M2B05-writeback_master.py | Tiefe: 3",""
"id-6ea7bbc8f9ee4a67adbc97778004f761","Artifact","Node.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Node.ajs | Tiefe: 6",""
"id-6ed482df9ba542e8b5ade8069a42993a","Artifact","03-child","Ordner | Pfad: 01-artifacts/00-xml/03-child | Tiefe: 3",""
"id-6ed7f0fb9d3e4684b3ea1c6d70f8b7e4","Artifact","Hello World.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Hello World.ajs | Tiefe: 4",""
"id-6fcab1be6c54463fb61e344263a4de79","Artifact","ATL00-validate_atl_scope.py","Datei | Pfad: 01-artifacts/01-scripts/ATL00-validate_atl_scope.py | Tiefe: 3",""
"id-70571ae7de81432792cda2ca396b641e","Artifact","flowtriggers.txt","Datei | Pfad: 01-artifacts/04-flow/flowtriggers.txt | Tiefe: 3",""
"id-70bcf3b8cf2d4ed391c4092d93129b30","Artifact","Application Function.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/3. Application/Application Function.ajs | Tiefe: 6",""
"id-72188aee8a9a44b0806f179361f14ce9","Artifact","community-plugins.json","Datei | Pfad: .obsidian/community-plugins.json | Tiefe: 2",""
"id-736a31ac4f6643e7a86972e02453e76b","Artifact","mastercsvsync.txt","Datei | Pfad: 01-artifacts/00-xml/02-sync/mastercsvsync.txt | Tiefe: 4",""
"id-74721f02d69641399e4b508d59799ba7","Artifact","Capability.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/1. Strategy/Capability.ajs | Tiefe: 6",""
"id-74f119fcaefe4add90833519288a3565","Artifact","Business Interface.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/2. Business/Business Interface.ajs | Tiefe: 6",""
"id-753e97506e894e9a9b3bec6682d820f5","Artifact","CSV02-leer.py","Datei | Pfad: 01-artifacts/01-scripts/CSV02-leer.py | Tiefe: 3",""
"id-77163329838f43579f750fd8a6efe1c0","Artifact","04-flow","Ordner | Pfad: 01-artifacts/04-flow | Tiefe: 2",""
"id-784c7e7fddf34f1b8b227c85baeb89e2","Artifact","03-child","Ordner | Pfad: 01-artifacts/02-csv/03-child | Tiefe: 3",""
"id-78512620f9bb42318f13106c28de6ecd","Artifact","4. Technology & Physical","Ordner | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical | Tiefe: 5",""
"id-7b011dabd62c487f9e861472c6dc99ed","Artifact","root.cfg","Datei | Pfad: root.cfg | Tiefe: 1",""
"id-7b9e3f023f054d239f171c9658d73bbc","Artifact","CLE00-resolve_root.log","Datei | Pfad: 02-stages/99-logs/CLE00-resolve_root.log | Tiefe: 3",""
"id-7be02b1e22574ea5a3d344ce33e47726","Artifact","Distribution Network.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Distribution Network.ajs | Tiefe: 6",""
"id-7cfc378cb4b84c818f6ee2a4976ac642","Artifact","Statistics.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Statistics.ajs | Tiefe: 4",""
